Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides HE1,Peptides HE2,Peptides HE3,Peptides HE4,Peptides PE1,Peptides PE2,Peptides PE3,Peptides PE4,Razor + unique peptides HE1,Razor + unique peptides HE2,Razor + unique peptides HE3,Razor + unique peptides HE4,Razor + unique peptides PE1,Razor + unique peptides PE2,Razor + unique peptides PE3,Razor + unique peptides PE4,Unique peptides HE1,Unique peptides HE2,Unique peptides HE3,Unique peptides HE4,Unique peptides PE1,Unique peptides PE2,Unique peptides PE3,Unique peptides PE4,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Q-value,Score,Identification type HE1,Identification type HE2,Identification type HE3,Identification type HE4,Identification type PE1,Identification type PE2,Identification type PE3,Identification type PE4,Sequence coverage HE1 [%],Sequence coverage HE2 [%],Sequence coverage HE3 [%],Sequence coverage HE4 [%],Sequence coverage PE1 [%],Sequence coverage PE2 [%],Sequence coverage PE3 [%],Sequence coverage PE4 [%],Intensity,Intensity HE1,Intensity HE2,Intensity HE3,Intensity HE4,Intensity PE1,Intensity PE2,Intensity PE3,Intensity PE4,LFQ intensity HE1,LFQ intensity HE2,LFQ intensity HE3,LFQ intensity HE4,LFQ intensity PE1,LFQ intensity PE2,LFQ intensity PE3,LFQ intensity PE4,MS/MS count HE1,MS/MS count HE2,MS/MS count HE3,MS/MS count HE4,MS/MS count PE1,MS/MS count PE2,MS/MS count PE3,MS/MS count PE4,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
A1KXE4,A1KXE4,1,1,1,Myelin-associated neurite-outgrowth inhibitor,FAM168B,sp|A1KXE4|F168B_HUMAN Myelin-associated neurite-outgrowth inhibitor OS=Homo sapiens OX=9606 GN=FAM168B PE=1 SV=1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.7,8.7,8.7,20.324,195,195,1,1,0.0093931,6.1311,,By MS/MS,,,,,,,0,8.7,0,0,0,0,0,0,347500,0,347500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,10,8220,TRUE,8633,52383,38265,38265,,,9606
A2A288,A2A288,4,4,4,Probable ribonuclease ZC3H12D,ZC3H12D,sp|A2A288|ZC12D_HUMAN Probable ribonuclease ZC3H12D OS=Homo sapiens OX=9606 GN=ZC3H12D PE=1 SV=3,1,4,4,4,2,4,4,2,4,1,3,3,2,4,4,2,4,1,3,3,2,4,4,2,4,1,3,3,10.1,10.1,10.1,58.077,527,527,1,26,0,45.292,By MS/MS,By MS/MS,By MS/MS,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,5.1,10.1,10.1,5.9,10.1,3,8,8,12916000,1161700,3275100,1915600,583040,3419700,325190,1388000,847680,298330,1272600,364610,0,795150,0,335330,398940,1,3,1,0,2,0,1,2,10,,,,11,3558;3979;6436;10625,True;True;True;True,3705;4142;6703;11119,21994;21995;21996;21997;24600;24601;24602;24603;24604;40557;40558;40559;40560;40561;40562;40563;40564;67621;67622;67623;67624;67625;67626;67627;67628;67629,16004;17935;29469;29470;29471;29472;29473;49478;49479;49480,16004;17935;29469;49480,,,9606
A2RUR9;Q8IYA2,A2RUR9;Q8IYA2,1;1,1;1,1;1,Coiled-coil domain-containing protein 144A;Putative coiled-coil domain-containing protein 144C,CCDC144A;CCDC144CP,sp|A2RUR9|C144A_HUMAN Coiled-coil domain-containing protein 144A OS=Homo sapiens OX=9606 GN=CCDC144A PE=2 SV=1;sp|Q8IYA2|C144C_HUMAN Putative coiled-coil domain-containing protein 144C OS=Homo sapiens OX=9606 GN=CCDC144CP PE=5 SV=3,2,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1.3,1.3,1.3,165.12,1427,1427;1237,1,4,1,-2,,By MS/MS,By MS/MS,,,By MS/MS,,By MS/MS,0,1.3,1.3,0,0,1.3,0,1.3,2906100,0,409280,709370,0,0,801480,0,985930,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,+,,,12,7802,TRUE,8163,49273;49274;49275;49276,35786,35786,1;2,954;958,9606;9606
A3KMH1,A3KMH1,2,2,2,von Willebrand factor A domain-containing protein 8,VWA8,sp|A3KMH1|VWA8_HUMAN von Willebrand factor A domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VWA8 PE=1 SV=2,1,2,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,214.82,1905,1905,1,2,0.00045956,11.604,By MS/MS,,,,,,,By MS/MS,0.4,0,0,0,0,0,0,0.6,308510,308510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,,,,13,2159;2706,True;True,2255;2820,13385;16637,9749;12059,9749;12059,,,9606
A4D1P6,A4D1P6,2,2,2,WD repeat-containing protein 91,WDR91,sp|A4D1P6|WDR91_HUMAN WD repeat-containing protein 91 OS=Homo sapiens OX=9606 GN=WDR91 PE=1 SV=2,1,2,2,2,1,0,0,0,0,1,1,2,1,0,0,0,0,1,1,2,1,0,0,0,0,1,1,2,3.1,3.1,3.1,83.343,747,747,1,5,0,13.084,By MS/MS,,,,,By MS/MS,By MS/MS,By MS/MS,1.6,0,0,0,0,1.5,1.5,3.1,156030,0,0,0,0,0,81571,74458,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,5,,,,14,6876;10088,True;True,7160;10560,43298;43299;64014;64015;64016,31530;31531;46666;46667;46668,31530;46667,,,9606
A6NC98,A6NC98,7,7,7,Coiled-coil domain-containing protein 88B,CCDC88B,sp|A6NC98|CC88B_HUMAN Coiled-coil domain-containing protein 88B OS=Homo sapiens OX=9606 GN=CCDC88B PE=1 SV=1,1,7,7,7,4,4,5,2,4,3,3,1,4,4,5,2,4,3,3,1,4,4,5,2,4,3,3,1,5.4,5.4,5.4,164.81,1476,1476,1,29,0,42.699,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,3.3,3.2,3.8,1.8,2.8,2.2,2,0.8,8851300,701660,862430,1509700,42668,2214900,1344700,1146400,1028800,344360,527290,417130,0,643970,533200,0,0,2,4,5,1,2,3,1,0,18,,,,15,2432;5230;5638;8897;9445;11630;11643,True;True;True;True;True;True;True,2539;5461;5880;9333;9894;12173;12186,14950;14951;14952;14953;14954;14955;32945;35606;35607;56654;56655;56656;56657;56658;56659;56660;59954;59955;59956;59957;59958;59959;74453;74454;74455;74534;74535;74536;74537,10833;10834;24026;25931;25932;41329;41330;41331;41332;43628;43629;43630;43631;43632;43633;54595;54596;54597;54646,10833;24026;25932;41330;43631;54597;54646,,,9606
A6NDG6,A6NDG6,2,2,2,Phosphoglycolate phosphatase,PGP,sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1,1,2,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,6.2,6.2,6.2,34.006,321,321,1,11,0.00045372,11.342,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,3.1,3.1,6.2,3.1,3.1,3.1,6.2,6.2,4865500,668410,354980,860680,370640,423310,429450,760610,997430,0,0,409090,0,0,0,291460,383480,1,1,0,1,1,1,2,0,7,,,,16,6451;8496,True;True,6719;8917,40660;40661;40662;54113;54114;54115;54116;54117;54118;54119;54120,29555;39549;39550;39551;39552;39553;39554,29555;39551,,,9606
A6NDU8,A6NDU8,1,1,1,UPF0600 protein C5orf51,C5orf51,sp|A6NDU8|CE051_HUMAN UPF0600 protein C5orf51 OS=Homo sapiens OX=9606 GN=C5orf51 PE=1 SV=1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,9.9,9.9,9.9,33.62,294,294,1,4,0,28.924,By matching,By MS/MS,By matching,By MS/MS,,,,,9.9,9.9,9.9,9.9,0,0,0,0,9578700,3105000,1106900,2879800,2487000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,,,,17,9514,TRUE,9964,60321;60322;60323;60324,43881;43882,43882,,,9606
A6NHR9,A6NHR9,2,2,2,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,SMCHD1,sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2,1,2,2,2,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1.2,1.2,1.2,226.37,2005,2005,1,3,0,12.144,By MS/MS,,,,,By MS/MS,,,1.2,0,0,0,0,0.5,0,0,483490,374320,0,0,0,0,109170,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,,,,18,2941;7635,True;True,3067;7946,18104;18105;47956,13139;13140;34880,13139;34880,,,9606
A6NJG2,A6NJG2,1,1,1,Ankyrin repeat domain-containing protein SOWAHD,SOWAHD,sp|A6NJG2|SWAHD_HUMAN Ankyrin repeat domain-containing protein SOWAHD OS=Homo sapiens OX=9606 GN=SOWAHD PE=2 SV=1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,3.8,3.8,3.8,33.803,315,315,1,4,0.0024865,7.2313,,,By matching,,,By matching,By matching,By MS/MS,0,0,3.8,0,0,3.8,3.8,3.8,1438400,0,0,294200,0,0,203150,375510,565500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,19,1793,TRUE,1875,11130;11131;11132;11133,8112,8112,,,9606
A6NK06,A6NK06,1,1,1,Cis-aconitate decarboxylase,IRG1,sp|A6NK06|IRG1_HUMAN Cis-aconitate decarboxylase OS=Homo sapiens OX=9606 GN=ACOD1 PE=1 SV=1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2.3,2.3,2.3,52.628,481,481,1,2,0.0041714,6.4398,,,,By MS/MS,By MS/MS,,,,0,0,0,2.3,2.3,0,0,0,5734500,0,0,0,5734500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,,,,20,5794,TRUE,6040,36593;36594,26629;26630,26630,,,9606
P62308;A8MWD9,P62308;A8MWD9,3;3,3;3,3;3,Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15,SNRPG;SNRPGP15,sp|P62308|RUXG_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1;sp|A8MWD9|RUXGL_HUMAN Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens OX=9606 GN=SNRPGP15 PE=5 SV=2,2,3,3,3,1,3,2,3,3,3,3,2,1,3,2,3,3,3,3,2,1,3,2,3,3,3,3,2,26.3,26.3,26.3,8.496,76,76;76,1,29,0,60.65,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,9.2,26.3,26.3,26.3,26.3,26.3,26.3,25,168700000,17069000,22812000,10139000,18576000,44045000,19880000,24630000,11545000,0,31952000,12841000,17044000,21087000,16406000,22164000,14937000,1,3,1,2,7,2,2,3,21,,,,21,3533;3534;4280,True;True;True,3678;3679;3680;3681;4458,21814;21815;21816;21817;21818;21819;21820;21821;21822;21823;21824;21825;21826;21827;21828;21829;21830;21831;21832;21833;21834;26553;26554;26555;26556;26557;26558;26559;26560,15864;15865;15866;15867;15868;15869;15870;15871;15872;15873;15874;15875;15876;19367;19368;19369;19370;19371;19372;19373;19374,15870;15874;19373,3,69,9606;9606
A8MXV4,A8MXV4,2,2,2,"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial",NUDT19,sp|A8MXV4|NUD19_HUMAN Nucleoside diphosphate-linked moiety X motif 19 OS=Homo sapiens OX=9606 GN=NUDT19 PE=1 SV=1,1,2,2,2,1,1,1,1,1,2,0,0,1,1,1,1,1,2,0,0,1,1,1,1,1,2,0,0,13.3,13.3,13.3,42.233,375,375,1,7,0.0004662,11.841,By MS/MS,By MS/MS,By matching,By matching,By MS/MS,By MS/MS,,,6.1,6.1,6.1,6.1,6.1,13.3,0,0,2841100,912930,388700,313480,424840,371610,429520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,,,,22,10081;10425,True;True,10553;10907,63978;63979;63980;63981;63982;63983;66350,46647;46648;48521,46647;48521,,,9606
