Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides PD1,Peptides PD2,Peptides PD3,Peptides PD4,Peptides PE1,Peptides PE2,Peptides PE3,Peptides PE4,Razor + unique peptides PD1,Razor + unique peptides PD2,Razor + unique peptides PD3,Razor + unique peptides PD4,Razor + unique peptides PE1,Razor + unique peptides PE2,Razor + unique peptides PE3,Razor + unique peptides PE4,Unique peptides PD1,Unique peptides PD2,Unique peptides PD3,Unique peptides PD4,Unique peptides PE1,Unique peptides PE2,Unique peptides PE3,Unique peptides PE4,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Q-value,Score,Identification type PD1,Identification type PD2,Identification type PD3,Identification type PD4,Identification type PE1,Identification type PE2,Identification type PE3,Identification type PE4,Sequence coverage PD1 [%],Sequence coverage PD2 [%],Sequence coverage PD3 [%],Sequence coverage PD4 [%],Sequence coverage PE1 [%],Sequence coverage PE2 [%],Sequence coverage PE3 [%],Sequence coverage PE4 [%],Intensity,Intensity PD1,Intensity PD2,Intensity PD3,Intensity PD4,Intensity PE1,Intensity PE2,Intensity PE3,Intensity PE4,LFQ intensity PD1,LFQ intensity PD2,LFQ intensity PD3,LFQ intensity PD4,LFQ intensity PE1,LFQ intensity PE2,LFQ intensity PE3,LFQ intensity PE4,MS/MS count PD1,MS/MS count PD2,MS/MS count PD3,MS/MS count PD4,MS/MS count PE1,MS/MS count PE2,MS/MS count PE3,MS/MS count PE4,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
A5YKK6,A5YKK6,1,1,1,CCR4-NOT transcription complex subunit 1,CNOT1,sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0.5,0.5,0.5,266.94,2376,2376,1,4,0.0095602,6.0753,,By MS/MS,,By MS/MS,,,By matching,By matching,0,0.5,0,0.5,0,0,0.5,0.5,1078900,0,288060,0,235610,0,0,218840,336340,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,,,,10,3281,TRUE,3406,18199;18200;18201;18202,12954;12955,12954,,,9606
A6NC98,A6NC98,5,5,5,Coiled-coil domain-containing protein 88B,CCDC88B,sp|A6NC98|CC88B_HUMAN Coiled-coil domain-containing protein 88B OS=Homo sapiens OX=9606 GN=CCDC88B PE=1 SV=1,1,5,5,5,0,1,0,0,5,3,3,1,0,1,0,0,5,3,3,1,0,1,0,0,5,3,3,1,3.3,3.3,3.3,164.81,1476,1476,1,13,0,29.509,,By MS/MS,,,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0,0.7,0,0,3.3,2.2,2,0.8,5804800,0,69925,0,0,2214900,1344700,1146400,1028800,0,0,0,0,1102400,856570,0,0,0,1,0,0,3,3,1,0,8,,,,11,446;2320;8856;10922;10933,True;True;True;True;True,469;2414;9259;11415;11426,2468;12757;12758;12759;51234;51235;51236;63566;63567;63618;63619;63620;63621,1822;8994;36516;36517;36518;45691;45692;45736;45737,1822;8994;36518;45691;45736,,,9606
A6NCN2,A6NCN2,5,1,1,Putative keratin-87 protein,KRT87P,sp|A6NCN2|KR87P_HUMAN Putative keratin-87 protein OS=Homo sapiens OX=9606 GN=KRT87P PE=5 SV=4,1,5,1,1,1,3,4,3,3,2,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,23.9,7.8,7.8,29.117,255,255,1,1,0.0039761,6.3314,By matching,By matching,By MS/MS,By matching,By matching,By matching,By matching,By matching,3.9,12.5,19.2,12.5,12.5,7.8,7.8,7.8,2306800,0,0,2306800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,12,803;5526;5665;9550;10081,False;True;False;False;False,840;5749;5893;9977;10533,4363;4364;4365;31613;32456;55065;55066;55067;55068;55069;55070;55071;55072;55073;58546;58547;58548;58549;58550;58551;58552,3150;22547;23142;39293;39294;39295;39296;42001;42002;42003;42004;42005,3150;22547;23142;39295;42002,,,9606
A6NDG6,A6NDG6,2,2,2,Phosphoglycolate phosphatase,PGP,sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1,1,2,2,2,1,0,1,1,1,1,2,2,1,0,1,1,1,1,2,2,1,0,1,1,1,1,2,2,6.2,6.2,6.2,34.006,321,321,1,9,0.0004914,11.489,By MS/MS,,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,3.1,0,3.1,3.1,3.1,3.1,6.2,6.2,2835700,70140,0,15816,138920,423310,429450,760610,997430,0,0,0,0,0,0,590220,709790,0,0,0,0,1,1,2,0,4,,,,13,6058;7992,True;True,6299;8370,34641;34642;46293;46294;46295;46296;46297;46298;46299,24735;33186;33187;33188,24735;33187,,,9606
A6NHR9,A6NHR9,2,2,2,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,SMCHD1,sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2,1,2,2,2,2,2,0,2,0,2,0,1,2,2,0,2,0,2,0,1,2,2,0,2,0,2,0,1,1.2,1.2,1.2,226.37,2005,2005,1,9,0,12.462,By matching,By MS/MS,,By matching,,By MS/MS,,By matching,1.2,1.2,0,1.2,0,1.2,0,0.7,1284100,82682,309110,0,323440,0,273270,0,295630,258090,441450,0,384680,0,238130,0,0,0,2,0,0,0,1,0,0,3,,,,14,2133;2800,True;True,2220;2911,11841;11842;11843;11844;11845;15431;15432;15433;15434,8361;10926;10927,8361;10927,,,9606
A6NJG2,A6NJG2,1,1,1,Ankyrin repeat domain-containing protein SOWAHD,SOWAHD,sp|A6NJG2|SWAHD_HUMAN Ankyrin repeat domain-containing protein SOWAHD OS=Homo sapiens OX=9606 GN=SOWAHD PE=2 SV=1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,3.8,3.8,3.8,33.803,315,315,1,3,0.0013363,7.6464,,,,,,By matching,By matching,By MS/MS,0,0,0,0,0,3.8,3.8,3.8,1144200,0,0,0,0,0,203150,375510,565500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,15,1709,TRUE,1784,9520;9521;9522,6745,6745,,,9606
A6NK06,A6NK06,1,1,1,Cis-aconitate decarboxylase,IRG1,sp|A6NK06|IRG1_HUMAN Cis-aconitate decarboxylase OS=Homo sapiens OX=9606 GN=ACOD1 PE=1 SV=1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.3,2.3,2.3,52.628,481,481,1,1,0.00244,6.5093,,,,,By MS/MS,,,,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,16,5453,TRUE,5672,31190,22254,22254,,,9606
P62308;A8MWD9,P62308;A8MWD9,3;3,3;3,3;3,Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15,SNRPG;SNRPGP15,sp|P62308|RUXG_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1;sp|A8MWD9|RUXGL_HUMAN Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens OX=9606 GN=SNRPGP15 PE=5 SV=2,2,3,3,3,1,1,1,1,3,3,2,2,1,1,1,1,3,3,2,2,1,1,1,1,3,3,2,2,26.3,26.3,26.3,8.496,76,76;76,1,20,0,50.176,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,9.2,9.2,9.2,9.2,26.3,26.3,25,25,99270000,876490,1757200,210410,1393700,41065000,18448000,23974000,11545000,0,0,0,0,33568000,22310000,39829000,20966000,1,1,1,1,7,2,2,3,18,,,,17,3343;3344;4029,True;True;True,3471;3472;3473;3474;4187,18497;18498;18499;18500;18501;18502;18503;18504;18505;18506;18507;18508;22479;22480;22481;22482;22483;22484;22485;22486,13173;13174;13175;13176;13177;13178;13179;13180;13181;13182;16078;16079;16080;16081;16082;16083;16084;16085,13177;13181;16085,3,69,9606;9606
A8MXV4,A8MXV4,2,2,2,"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial",NUDT19,sp|A8MXV4|NUD19_HUMAN Nucleoside diphosphate-linked moiety X motif 19 OS=Homo sapiens OX=9606 GN=NUDT19 PE=1 SV=1,1,2,2,2,1,1,0,1,1,2,0,0,1,1,0,1,1,2,0,0,1,1,0,1,1,2,0,0,13.3,13.3,13.3,42.233,375,375,1,6,0,11.909,By MS/MS,By MS/MS,,By MS/MS,By MS/MS,By MS/MS,,,6.1,6.1,0,6.1,6.1,13.3,0,0,1354100,126620,183790,0,242590,371610,429520,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,4,,,,18,9463;9783,True;True,9889;10218,54630;54631;54632;54633;54634;56655,38969;38970;38971;40595,38971;40595,,,9606
B0I1T2,B0I1T2,17,17,17,Unconventional myosin-Ig;Minor histocompatibility antigen HA-2,MYO1G,sp|B0I1T2|MYO1G_HUMAN Unconventional myosin-Ig OS=Homo sapiens OX=9606 GN=MYO1G PE=1 SV=2,1,17,17,17,10,14,7,12,6,12,12,13,10,14,7,12,6,12,12,13,10,14,7,12,6,12,12,13,16.4,16.4,16.4,116.44,1018,1018,1,86,0,118.54,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,11.2,15.3,7.7,13.3,5.8,13.5,12.4,13.1,74518000,2574500,11794000,845430,9573000,7425000,9512500,13833000,18961000,3536900,4860900,2902200,6358200,2032300,2646600,2635900,5227500,4,11,5,11,2,5,5,8,51,,,,19,321;488;562;1021;3151;3469;3476;3936;4049;4433;4604;6249;6525;7504;7766;8744;8830,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,336;513;594;1067;3275;3604;3611;4092;4208;4609;4795;6495;6781;7855;8137;9146;9233,1768;1769;1770;1771;1772;1773;1774;2709;2710;2711;2712;2713;3105;3106;3107;5697;5698;5699;17435;17436;17437;17438;17439;17440;19210;19211;19212;19213;19214;19215;19216;19246;19247;19248;21922;21923;21924;21925;21926;21927;21928;22616;25050;25051;25052;26079;26080;26081;26082;26083;35719;35720;35721;35722;35723;35724;37275;37276;37277;37278;37279;43484;43485;43486;43487;43488;43489;45015;45016;45017;45018;45019;45020;50601;50602;50603;50604;50605;51079;51080;51081;51082;51083;51084;51085;51086,1288;1289;1290;1291;1292;2006;2007;2008;2009;2292;2293;4113;4114;4115;12395;13673;13674;13675;13676;13677;13678;13700;15664;15665;15666;15667;15668;15669;15670;16193;17991;17992;18658;18659;25495;25496;25497;25498;25499;26598;31065;31066;31067;31068;31069;31070;32257;32258;36094;36410;36411,1289;2007;2292;4113;12395;13677;13700;15670;16193;17992;18659;25496;26598;31069;32257;36094;36411,,,9606
Q99613;B5ME19,Q99613;B5ME19,11;11,11;11,11;11,Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein,EIF3C;EIF3CL,sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1;sp|B5ME19|EIFCL_HUMAN Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1,2,11,11,11,5,7,5,8,5,7,7,10,5,7,5,8,5,7,7,10,5,7,5,8,5,7,7,10,11,11,11,105.34,913,913;914,1,54,0,106.27,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,5.8,7.4,6.6,9.7,6.5,8.3,7.4,11,40251000,1438000,7447800,1231800,5686800,3351100,3911700,4802600,12381000,2781900,4207100,3316100,4020900,1051100,1866500,2131600,3419200,3,6,3,6,3,5,7,8,41,,,,20,393;971;1931;4494;5236;5354;6121;6562;8334;9269;9893,True;True;True;True;True;True;True;True;True;True;True,413;1016;2012;4673;5451;5570;6363;6823;8725;9691;10334,2190;2191;2192;2193;2194;2195;2196;2197;5413;5414;5415;5416;5417;10816;25421;25422;25423;25424;25425;25426;25427;29915;29916;29917;29918;30629;30630;30631;30632;34973;37506;37507;37508;37509;48259;48260;48261;48262;53591;53592;53593;53594;53595;53596;53597;53598;57237;57238;57239;57240;57241;57242;57243;57244,1629;1630;1631;1632;1633;1634;1635;1636;3905;3906;3907;3908;7664;18228;18229;18230;18231;18232;18233;21389;21885;21886;21887;21888;24973;26765;26766;26767;26768;34529;38220;38221;38222;38223;41021;41022;41023;41024;41025;41026;41027,1634;3905;7664;18231;21389;21887;24973;26768;34529;38222;41022,,,9606;9606
CON__A2A5Y0;CON__REFSEQ:XP_986630;O76014;CON__O76014;O76015;CON__O76015;Q6A162;CON__Q6IFU5,CON__A2A5Y0;CON__REFSEQ:XP_986630;O76014;CON__O76014,6;5;3;3;2;2;1;1,1;1;1;1;1;1;1;1,0;0;0;0;0;0;0;0,"Keratin, type I cuticular Ha7",KRT37,";;sp|O76014|KRT37_HUMAN Keratin, type I cuticular Ha7 OS=Homo sapiens OX=9606 GN=KRT37 PE=1 SV=3;",8,6,1,0,1,4,5,3,1,1,2,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14.7,2.9,0,47.117,416,416;476;449;471;456;456;431;431,1,3,0.0039777,6.3323,By matching,By matching,By MS/MS,By MS/MS,By matching,By matching,By matching,By matching,1.7,9.1,12.3,6.7,1.7,1.7,3.8,6.2,1483300,0,482740,480130,520420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,+,21,5687;6612;7148;7534;8323;10039,False;False;False;False;True;False,5917;6875;7422;7886;8714;10490,32588;32589;32590;32591;32592;32593;32594;32595;32596;32597;32598;32599;32600;37767;40660;40661;40662;40663;40664;43640;43641;48216;48217;48218;58336,23238;23239;23240;23241;26960;28988;31182;31183;34494;41864,23239;26960;28988;31183;34494;41864,,,-1;-1;9606;-1;9606;-1;9606;-1
CON__ENSEMBL:ENSBTAP00000018229;CON__Q3MHN5,CON__ENSEMBL:ENSBTAP00000018229;CON__Q3MHN5,2;1,2;1,2;1,,,;,2,2,2,2,0,0,0,0,1,2,2,0,0,0,0,0,1,2,2,0,0,0,0,0,1,2,2,0,6.3,6.3,6.3,53.661,475,475;474,1,5,0,13.168,,,,,By matching,By MS/MS,By MS/MS,,0,0,0,0,1.7,6.3,6.3,0,3162500,0,0,0,0,191890,1831800,1138800,0,0,0,0,0,0,1259900,714940,0,0,0,0,0,0,2,1,0,3,,,+,22,4627;11124,True;True,4819;11627,26268;26269;26270;64724;64725,18801;46470;46471,18801;46470,,,-1;-1
CON__ENSEMBL:ENSBTAP00000024146,CON__ENSEMBL:ENSBTAP00000024146,9,9,8,,,,1,9,9,8,2,9,1,0,1,2,0,0,2,9,1,0,1,2,0,0,1,8,1,0,1,2,0,0,9.9,9.9,9.2,164.34,1477,1477,1,15,0,64.646,By matching,By MS/MS,By MS/MS,,By MS/MS,By MS/MS,,,2.2,9.9,0.5,0,0.7,2,0,0,6348700,257850,4985900,46066,0,348900,709890,0,0,385860,3420100,0,0,0,382010,0,0,0,9,0,0,0,1,0,0,10,,,+,23,365;637;754;2780;7479;7767;8437;9433;10761,True;True;True;True;True;True;True;True;True,384;671;790;2889;7830;8138;8830;9859;11240,2046;2047;2048;3535;4150;15333;15334;43355;43356;45021;45022;48822;48823;54500;62508,1515;1516;2601;3013;10857;30963;32259;34879;38868;44910,1516;2601;3013;10857;30963;32259;34879;38868;44910,,,-1
