Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides HD1,Peptides HD2,Peptides HD3,Peptides HD4,Peptides HE1,Peptides HE2,Peptides HE3,Peptides HE4,Razor + unique peptides HD1,Razor + unique peptides HD2,Razor + unique peptides HD3,Razor + unique peptides HD4,Razor + unique peptides HE1,Razor + unique peptides HE2,Razor + unique peptides HE3,Razor + unique peptides HE4,Unique peptides HD1,Unique peptides HD2,Unique peptides HD3,Unique peptides HD4,Unique peptides HE1,Unique peptides HE2,Unique peptides HE3,Unique peptides HE4,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Q-value,Score,Identification type HD1,Identification type HD2,Identification type HD3,Identification type HD4,Identification type HE1,Identification type HE2,Identification type HE3,Identification type HE4,Sequence coverage HD1 [%],Sequence coverage HD2 [%],Sequence coverage HD3 [%],Sequence coverage HD4 [%],Sequence coverage HE1 [%],Sequence coverage HE2 [%],Sequence coverage HE3 [%],Sequence coverage HE4 [%],Intensity,Intensity HD1,Intensity HD2,Intensity HD3,Intensity HD4,Intensity HE1,Intensity HE2,Intensity HE3,Intensity HE4,LFQ intensity HD1,LFQ intensity HD2,LFQ intensity HD3,LFQ intensity HD4,LFQ intensity HE1,LFQ intensity HE2,LFQ intensity HE3,LFQ intensity HE4,MS/MS count HD1,MS/MS count HD2,MS/MS count HD3,MS/MS count HD4,MS/MS count HE1,MS/MS count HE2,MS/MS count HE3,MS/MS count HE4,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
A2A288,A2A288,2,2,2,Probable ribonuclease ZC3H12D,ZC3H12D,sp|A2A288|ZC12D_HUMAN Probable ribonuclease ZC3H12D OS=Homo sapiens OX=9606 GN=ZC3H12D PE=1 SV=3,1,2,2,2,0,0,1,0,2,2,2,1,0,0,1,0,2,2,2,1,0,0,1,0,2,2,2,1,5.1,5.1,5.1,58.077,527,527,1,8,0,24.944,,,By MS/MS,,By MS/MS,By MS/MS,By MS/MS,By matching,0,0,3,0,5.1,5.1,5.1,3,4127400,0,0,364380,0,1161700,1526800,762250,312210,0,0,0,0,217790,954690,276360,0,0,0,1,0,1,2,1,0,5,,,,10,3496;6370,True;True,3617;6600,18506;18507;18508;34973;34974;34975;34976;34977,12899;24516;24517;24518;24519,12899;24517,,,9606
A2RUR9;Q8IYA2,A2RUR9;Q8IYA2,1;1,1;1,1;1,Coiled-coil domain-containing protein 144A;Putative coiled-coil domain-containing protein 144C,CCDC144A;CCDC144CP,sp|A2RUR9|C144A_HUMAN Coiled-coil domain-containing protein 144A OS=Homo sapiens OX=9606 GN=CCDC144A PE=2 SV=1;sp|Q8IYA2|C144C_HUMAN Putative coiled-coil domain-containing protein 144C OS=Homo sapiens OX=9606 GN=CCDC144CP PE=5 SV=3,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.3,1.3,1.3,165.12,1427,1427;1237,1,1,1,-2,,,,,,,By MS/MS,,0,0,0,0,0,0,1.3,0,709370,0,0,0,0,0,0,709370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,+,,,11,7738,TRUE,8049,42457,29702,29702,2;3,954;958,9606;9606
A5YKK6,A5YKK6,1,1,1,CCR4-NOT transcription complex subunit 1,CNOT1,sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0.5,266.94,2376,2376,1,1,0.0028306,2.1309,,,By MS/MS,,,,,,0,0,0.5,0,0,0,0,0,419130,0,0,419130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,,,,12,3402,TRUE,3520,18035,12564;12565,12565,,,9606
A6NC98,A6NC98,6,6,6,Coiled-coil domain-containing protein 88B,CCDC88B,sp|A6NC98|CC88B_HUMAN Coiled-coil domain-containing protein 88B OS=Homo sapiens OX=9606 GN=CCDC88B PE=1 SV=1,1,6,6,6,0,0,0,0,3,4,5,2,0,0,0,0,3,4,5,2,0,0,0,0,3,4,5,2,4.7,4.7,4.7,164.81,1476,1476,1,17,0,8.7613,,,,,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0,0,0,0,2.6,3.2,3.8,1.8,2853100,0,0,0,0,438280,862430,1509700,42668,0,0,0,0,275870,579050,361380,0,0,0,0,0,2,4,5,1,12,,,,13,2390;5144;5574;8814;9374;11534,True;True;True;True;True;True,2477;5339;5780;9190;9762;12006,12567;12568;12569;28100;30589;30590;48827;48828;48829;48830;48831;48832;48833;51854;51855;51856;64435,8706;19776;21491;21492;34301;34302;34303;34304;36256;36257;36258;45520,8706;19776;21492;34302;36256;45520,,,9606
A6NCN2,A6NCN2,16,2,2,Putative keratin-87 protein,KRT87P,sp|A6NCN2|KR87P_HUMAN Putative keratin-87 protein OS=Homo sapiens OX=9606 GN=KRT87P PE=5 SV=4,1,16,2,2,16,3,1,1,0,0,1,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,40.8,7.8,7.8,29.117,255,255,1,8,0,84.913,By MS/MS,By MS/MS,By matching,By matching,,,By matching,,40.8,14.5,3.1,3.5,0,0,3.5,0,154900000,153530000,1373500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,8,,,,14,140;830;1609;2396;5817;5818;5979;6119;6120;7394;7574;9285;9435;10118;10649;12206,False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False,143;863;1671;2483;2484;6031;6032;6199;6342;6343;7656;7842;9669;9824;10533;11085;12699,734;735;4332;4333;8470;12583;12584;12585;12586;31922;31923;31924;31925;31926;31927;31928;31929;32862;32863;33594;33595;33596;40410;40411;40412;41351;51378;51379;51380;51381;52127;52128;55812;55813;55814;59319;68053,510;3019;3020;5913;8716;8717;8718;8719;22368;22369;22370;22371;22372;22373;22374;22375;22981;22982;23498;23499;23500;28367;28993;35956;36424;36425;39034;39035;41777;41778;41779;48019,510;3020;5913;8718;22368;22371;22981;23498;23500;28367;28993;35956;36425;39034;41777;48019,4,225,9606
A6NDU8,A6NDU8,1,1,1,UPF0600 protein C5orf51,C5orf51,sp|A6NDU8|CE051_HUMAN UPF0600 protein C5orf51 OS=Homo sapiens OX=9606 GN=C5orf51 PE=1 SV=1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,9.9,9.9,9.9,33.62,294,294,1,4,0,26.804,,,,,By matching,By MS/MS,By matching,By MS/MS,0,0,0,0,9.9,9.9,9.9,9.9,9578700,0,0,0,0,3105000,1106900,2879800,2487000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,,,,15,9454,TRUE,9843,52197;52198;52199;52200,36466;36467,36467,,,9606
A6NHR9,A6NHR9,6,6,6,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,SMCHD1,sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2,1,6,6,6,3,2,6,2,5,1,2,2,3,2,6,2,5,1,2,2,3,2,6,2,5,1,2,2,3.8,3.8,3.8,226.37,2005,2005,1,23,0,9.5618,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.7,1.2,3.8,1,3,0.5,1.2,1.2,11854000,1062400,317100,2793000,428010,4038600,709690,968810,1536500,1243800,0,2279100,1747300,1251000,0,0,0,0,0,5,1,2,0,0,0,8,,,,16,2210;2890;3632;4963;7578;10978,True;True;True;True;True;True,2289;2995;3757;5152;7846;11422,11669;11670;11671;11672;11673;11674;15261;15262;15263;15264;19223;27036;27037;27038;27039;27040;27041;27042;27043;41364;41365;61021;61022,8080;10588;10589;13375;19008;29002;29003;42982,8080;10589;13375;19008;29002;42982,,,9606
A6NIH7;Q13432,A6NIH7;Q13432,2;1,2;1,2;1,Protein unc-119 homolog B;Protein unc-119 homolog A,UNC119B;UNC119,sp|A6NIH7|U119B_HUMAN Protein unc-119 homolog B OS=Homo sapiens OX=9606 GN=UNC119B PE=1 SV=1;sp|Q13432|U119A_HUMAN Protein unc-119 homolog A OS=Homo sapiens OX=9606 GN=UNC119 PE=1 SV=1,2,2,2,2,1,1,1,0,1,1,2,1,1,1,1,0,1,1,2,1,1,1,1,0,1,1,2,1,7.6,7.6,7.6,28.136,251,251;240,1,8,0.0012788,2.4203,By MS/MS,By MS/MS,By MS/MS,,By MS/MS,By MS/MS,By MS/MS,By MS/MS,3.6,3.6,3.6,0,3.6,3.6,7.6,3.6,5805000,196330,199460,950160,0,1668400,718960,979850,1091900,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,4,,,,17,6915;12509,True;True,7164;13012,37942;69754;69755;69756;69757;69758;69759;69760,26649;49303;49304;49305,26649;49303,,,9606;9606
A8CG34;Q96HA1,A8CG34;Q96HA1,1;1,1;1,1;1,Nuclear envelope pore membrane protein POM 121C;Nuclear envelope pore membrane protein POM 121,POM121C;POM121,sp|A8CG34|P121C_HUMAN Nuclear envelope pore membrane protein POM 121C OS=Homo sapiens OX=9606 GN=POM121C PE=1 SV=3;sp|Q96HA1|P121A_HUMAN Nuclear envelope pore membrane protein POM 121 OS=Homo sapiens OX=9606 GN=POM121 PE=1 SV=2,2,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1.1,1.1,1.1,125.09,1229,1229;1249,1,5,1,-2,,By MS/MS,By MS/MS,,By MS/MS,,By matching,By MS/MS,0,1.1,1.1,0,1.1,0,1.1,1.1,2552000,0,256970,1081300,0,0,0,493020,720720,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,+,,,18,7814,TRUE,8142,42859;42860;42861;42862;42863,29954;29955,29955,5,1,9606;9606
P62308;A8MWD9,P62308;A8MWD9,3;3,3;3,3;3,Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15,SNRPG;SNRPGP15,sp|P62308|RUXG_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1;sp|A8MWD9|RUXGL_HUMAN Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens OX=9606 GN=SNRPGP15 PE=5 SV=2,2,3,3,3,1,1,1,1,1,3,2,3,1,1,1,1,1,3,2,3,1,1,1,1,1,3,2,3,26.3,26.3,26.3,8.496,76,76;76,1,15,0,29.87,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,9.2,9.2,9.2,9.2,9.2,26.3,26.3,26.3,73027000,1353200,702870,2636300,791850,17069000,21758000,10139000,18576000,0,0,0,0,0,26884000,11229000,14859000,1,1,1,1,1,3,1,2,11,,,,19,3473;3474;4225,True;True;True,3594;3595;4378,18378;18379;18380;18381;18382;22606;22607;22608;22609;22610;22611;22612;22613;22614;22615,12801;12802;12803;15809;15810;15811;15812;15813;15814;15815;15816,12802;12803;15816,6,69,9606;9606
B0I1T2,B0I1T2,18,18,18,Unconventional myosin-Ig;Minor histocompatibility antigen HA-2,MYO1G,sp|B0I1T2|MYO1G_HUMAN Unconventional myosin-Ig OS=Homo sapiens OX=9606 GN=MYO1G PE=1 SV=2,1,18,18,18,12,13,16,15,13,10,13,7,12,13,16,15,13,10,13,7,12,13,16,15,13,10,13,7,24.3,24.3,24.3,116.44,1018,1018,1,101,0,57.912,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,12.3,13.5,18.2,19.6,18.9,11.3,13.5,7.6,104230000,3094100,2987900,40331000,4568300,29145000,7038000,11323000,5738300,2935500,2790000,6115600,3452600,2431500,1653900,2026800,1331900,5,8,15,8,10,5,8,1,60,,,,20,330;517;602;1052;1691;3258;3606;3950;4115;4641;4800;6585;6903;7918;8137;8195;9340;11429,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,340;538;632;1094;1755;3374;3731;4089;4265;4810;4982;6825;7148;8256;8491;8552;9727;11891,1762;1763;1764;1765;1766;1767;1768;2763;2764;2765;2766;2767;2768;2769;2770;2771;3215;3216;3217;5579;5580;5581;5582;5583;8918;8919;17279;17280;17281;17282;17283;17284;17285;17286;19105;19106;19107;19108;19109;19110;19111;21023;21024;21993;21994;21995;21996;21997;21998;21999;25123;25124;26060;26061;26062;26063;26064;26065;36179;36180;36181;36182;36183;36184;36185;37840;37841;37842;37843;37844;37845;37846;43871;43872;43873;43874;43875;43876;43877;43878;45100;45101;45431;45432;45433;45434;45435;45436;45437;45438;51674;51675;51676;51677;51678;51679;51680;51681;63697;63698;63699,1263;1264;1967;1968;1969;1970;1971;2258;2259;3936;3937;3938;3939;3940;3941;6227;11997;11998;11999;12000;12001;13280;13281;13282;13283;13284;13285;13286;13287;14702;15364;15365;15366;15367;15368;15369;15370;17654;18300;18301;18302;25426;25427;25428;25429;26580;26581;26582;30833;30834;30835;30836;30837;30838;30839;30840;30841;31729;31975;36147;44995,1264;1969;2258;3937;6227;11998;13283;14702;15366;17654;18300;25427;26581;30835;31729;31975;36147;44995,7,116,9606
